origin_state,origin_city,num_flights,origin_latitude,origin_longitude,dest_latitude,dest_longitude,type,counties,population,latitude,longitude
NV,Las Vegas,82119,2020.5002221599998,-6448.5306648,2050.42029804,-5444.43678906,City,Clark,641903,36.171,-115.144
NV,Reno,10322,631.97721776,-1916.2890352,612.3724586000001,-1710.83765643,City,Washoe,264165,39.529,-119.814
NY,Buffalo,19297,858.8104943999999,-1574.6433333999998,775.87423417,-1683.25377669,City,Erie,278349,42.886,-78.878
NY,New York,209742,6594.77652777,-11959.774313130001,5883.47362056,-14955.77530136,City,Bronx;Richmond;New York;Kings;Queens,8804190,40.714,-74.007
OH,Cleveland,30208,1739.25755514,-3437.67466014,1577.15267445,-3721.3657505,City,Cuyahoga,372624,41.5,-81.694
OH,Columbus,21544,1039.94761728,-2155.18895228,971.21879584,-2263.91620188,City,Delaware;Franklin;Fairfield,905748,39.962,-83.001
OK,Oklahoma City,15442,849.43411992,-2342.41761336,886.13366639,-2273.6764116,City,Canadian;Cleveland;Oklahoma,681054,35.468,-97.516
OR,Portland,32187,1732.37144436,-4658.705,1427.71736471,-3978.70128489,City,Multnomah;Clackamas;Washington,652503,45.519,-122.679
PA,Philadelphia,47659,1794.2378751,-3385.8513373500004,1645.0286130700001,-4097.64984748,City,Philadelphia,1603797,39.952,-75.164
PA,Pittsburgh,23905,1295.72690656,-2567.45186656,1180.88322473,-2819.44713046,City,Allegheny,302971,40.441,-80.003
RI,Providence,9272,625.85998755,-1071.4233166499998,580.89173139,-1269.69328189,City,Providence,190934,41.824,-71.413
TN,Memphis,19179,1366.65425013,-3509.09000013,1464.96044389,-3489.25324336,City,Shelby,633104,35.146,-90.052
TN,Nashville,38235,1444.9790668,-3467.1272888,1467.50284445,-3586.67660117,Metro Government,Davidson,689447,36.164,-86.783
TX,Austin,28572,1087.00318008,-3516.11538984,1344.47545082,-3447.41272532,City,Williamson;Travis;Hays,961855,30.268,-97.743
TX,Dallas,23168,361.31825279000003,-1065.36949442,352.34475804,-1050.98567801,City,Rockwall;Denton;Kaufman;Dallas;Collin,1304379,32.781,-96.797
TX,Houston,193952,5187.45250221,-16583.81916657,6422.13056002,-16446.81335208,City,Harris;Fort Bend;Montgomery,2304580,29.76,-95.363
TX,San Antonio,24169,886.0108332000001,-2954.0933334,1106.21061194,-2809.65931278,City,Bexar,1434625,29.423,-98.49
UT,Salt Lake City,48680,1876.26583788,-5150.9775626,1717.03544193,-4665.1383568,City,Salt Lake,199723,40.769,-111.891
VA,Norfolk,10511,811.6814444199999,-1676.4268888400002,816.98648528,-1813.51920112,City,Norfolk,238005,36.848,-76.292
VA,Richmond,12514,637.58783339,-1314.4343333900001,640.86239583,-1392.14421752,City,Richmond (city),226610,37.546,-77.453
WA,Seattle,62673,2277.55113312,-5870.8470288,1754.64442971,-4881.84510237,City,King,737015,47.607,-122.338
WI,Milwaukee,21503,1159.57499994,-2373.20774991,1014.93688639,-2440.9233319,City,Milwaukee,577222,43.042,-87.905
